,star_rating,review_body
0,3,The vinyl is good but there is no background. The image description is misleading. It is white vinyl there is no background at all. It is a good decal though I just adapted and rolled with it. Still looks good and seems durable. Need to get that image changed though.
1,2,Too bluky
2,5,My husband loves it.
3,3,"Ok for the price, I guess.  These are pretty narrow and sleek.  Installed on 1997 F150 4x4 supercab.  They could certainly use another support in the middle somewhere.  I go about 150lbs and they work fine for me.  If I were heavier, I would be concerned about durability."
4,5,Used these connectors to make a winch connection from the rear bumper of my truck to the winch on my trailer.
5,5,Great oil filter. Made of great quality. fits my saturn S-series perfectly and larger then the stock filter so you can hold more oil
6,5,Good product.  Great seller!
7,5,Great deal great quality I even muffed one up laying it but as I carded it it layed flat all on its own!
8,5,Great product works great in my MX5
9,5,Very nice pack.
10,5,"All I can say about these is they work very well and have a blueish tint to the light, very slight though."
11,5,"I laid down my bike the other day unfortunately. Fortunately tho I was wearing this helmet, here's my story. I hit a cutout patch in the road and lost traction, and my front wheel turned sharply on me ( going about 40mph ) it all happened so fast I could not correct it. I went down shoulder then head first into the pavement. The helmet stayed firm on my head. The aftermath of it all was cracked and broken fairings, road rash on my shoulder elbows, knees, lower back, and possibly a broken knee. ( doctor could not determine due to the amount of swelling ) but the important thing is that I'm here to tell you all this. And for the money spent for this helmet it was worth more than what is asked. Highly suggest this helmet for anyone who rides!"
12,5,"Quiet smooth braking, everything needed for a good installation."
13,5,"Very cool, using in my old Jeep for the trailer brake."
14,5,excellent
15,5,"Nice and bigger than I thought.  Colors are rich, nice quality."
16,5,Excellent.
17,5,Perfect fit makes old remote look almost new.
18,5,Plug & play which can't be beat!
19,5,just as advertized.  a great addition at a very low price
20,1,The adhesive was terrible and I threw it away after 3 days it was hanging down
21,4,"Happy with it , fit ni e and pretty easy to install ."
22,5,I bought it a month ago and its been working fine. And it arrived real fast.
23,5,Gift for my girlfriend who is a hello kitty fan and she loves the mats.
24,5,Fast shipping and great price
25,4,Excellent
26,5,"I am happy with the product, they arrived early and are even better than described.  Thank you."
27,5,Nice to be able to use the Battery Tender connector when the bike is in use rather than just when it is parked.  Works well.
28,5,"Delivered on time. Noticed better performance over traditional spark plugs. Not a whole lot, but noticeable."
29,5,fits my car real nice
30,5,Perfect for Chevrolet
31,5,My boyfriend loves this sticker and put it on his truck as soon as I gave it to him.  It just needs the words &#34;I believe&#34; below it.
32,5,works great.
33,4,This is a great little portable receiver.  We do a lot of camping and use one of our home receivers and it works great!  The only down side is that it is only Standard Definition with Direct TV receivers - HD receiver will NOT work with this dish.
34,4,Great product went on very easy
35,4,first one was a dud the replacement works great in my coat closet
36,5,"Surpassed my expectations, excellent measure for my corolla 2013 ring 16"
37,5,Perfect for working on cars
38,4,Good and heavy duty atv receiver hitch.  I have pulled a 4x8 utility trailer through a clear cut field using my Grizzly 700.  The trailer  had two men riding in it as well as a deer feeder and 250 lbs of corn.  I drove over stumps and small logs and this hitch held up very nicely to the punishment.  (it was a very rough ride to those to men riding in the trailer)  I even crossed a deep ditch and bottomed out the trailer and had to put the atv in 4x4 and spun all 4 tires to get it free.
39,5,Muy buenos
40,4,"Likes: Tool-less installation that allows it to be moved easily and quickly from bike to bike. Ability to recharge via USB cord (same mini USB plug used by most phones and many other devices). Seemingly sturdy construction. (Disclaimer: Have yet to test the sturdiness factor). Reasonable price.  Dislikes: Can't see any difference in brightness between the low and high settings. However, I always run my taillight on the blinking setting for better visibility, so the other settings aren't a big deal.  Update: My light recently popped off the rubber strap and disappeared while transporting the bike on a car carrier, leaving the strap connected to the seat post. Definitely a poor design feature. I'll be replacing the light with something else."
41,1,Don't buy these cheap pieces of crap. Installed them like I've done 100's of bearings and they fell apart when I stuck the assembly onto the axle. we'll see if I get my money back.
42,5,Works perfectly and replaced a 6 year old VDO replacement.  Blows hard and strong ... not noisy.
43,3,"There is no elastic or rope included. Mine had to be cut to fit a 205/15 tire. Be prepared. Otherwise, ok."
44,3,glue didn't stick it very well despite following all the instructions
45,5,"These fit great and really decreased the noise under the hood. The extra material and rigidity of the flange allows the gasket to work as it should. I replaced a set of long headers that just sat too low under the car and were causing heat problems with the starter and several fluid lines and required several mods to clear other components. These fit and work great. The application is a second gen Camaro with an LS1 in it. The outlet flanges are stainless steel so I did need to make some steel version to weld to my exhaust since I didn't have the capability to weld steel to stainless. The doughnut gaskets are also a little hard to find as I could only find them online, but they seal great."
46,5,Sounds awesome!!
47,5,Fits and looks amazing!
48,5,"As with most DORMAN products, they fit and perform as good or better than OEM. These bottles cloud easily and are hard to clean due to the baffle inside. This product will make it much easier to see the level of your coolant. The pressure cap and level sensor are included. This is for the version that clips in, not bolt in version. 06 Malibu Maxx SS, 3.9l"
49,5,Love my lights bright works well easy to install.
50,5,fast shipping and quality part. fit my 2000 e320<br /><br />Great customer service.
51,5,"Well made heavy fabric, these car seat covers are exactly as shown in the photo. They are well worth the money, as they will last for many years to come. They've been on my seats for 4 months & still look brand new."
52,5,Very cute. Very happy with it. Delivery time was 2 days. Lover Amazon
53,5,"Good product, meet expectations and delivery was on time<br />Thank you"
54,5,"Easy setup, fast shipping, and good price."
55,5,"Super-easy to install. Came with all bulbs already in place, which was a nice surprise. A very good bargain. Shipping was fast and efficient."
56,5,"I had one of these years ago and always loved it.  Somehow I lost it and now ordered another one.  Keeps my loose coins organized in my car for quick access at drive-thrus.  Keeps several nickles, dimes, and quarters in the spring loaded top. Also has a bottom storage to keep pennies and any extra coins. Best of all, it fits perfectly in any cup holder."
57,5,this thing saved me so much time.  My brother and I spent days trying to get the bearings out of an old bike.  This took literally 30 seconds per tire and was flawless.
58,4,"No issues, seems to protect my bike well."
59,5,great price
60,5,"Definitely worth the money if you're looking to get OBD data for you auto. Works great with ANY app on your Android device, and can read almost any code. If you are having trouble reading some data, it's not this device's fault! Does more than I expected and I'm glad I didn't go with a cheaper model."
61,5,Great product. Great seller. Fast delivery.<br />Thanks++++++
62,5,Worked great to couple two 5&#34; static hoses I had together with some pipe clamps.  Solid with a little give...was exactly the coupler I needed for my dust collector.
63,4,work just fine
64,1,Cause I didnt work there was a hole in it
65,5,Good product
66,5,Awesome product
67,5,"Fit perfectly on an 85' MR2 (AW11). It goes on much easier than the driver's side boot. I recommend putting the boot on over the inner tie rod, putting a bit of lubricant on the end of the boot, and then turning the steering wheel all the way to the right. This will compress the boot and push it onto the steering rack lip that it needs to sit on.<br /><br />The zip ties that come with the boot will not make the usual click sound as you tighten them, and there is no way to loosen them. I recommend waiting until you have the boot fully on before putting the zip tie on and tightening it."
68,4,Nice
69,5,recommended item and recommeded seller.
70,5,nice
