,star_rating,review_body
0,4,Excellent look and feel. Installation was easy my only small dislike was the exposed back portion of the rear seat cover.
1,5,Just what I needed for my cars!
2,5,Great value for the money! Product came new and was what described. I took parts to mechanic to replace and saved 500 dollars with parts and labor from what I was originally quoted.
3,4,It's cute
4,5,Perfect fit.
5,5,Shipping was fast. Few days and it was at my doorstep.<br /><br />The product was easy to install. About 5 minutes tops. Would recommend to anyone. Thanks guys.
6,5,"Best gadget ever! Hope I never have to use it, but if I do, I have one! It has a seat belt cutter, It helps to break out the car window. Great add on for you car emergency kit!"
7,5,Great
8,4,"I loved this with all of my heart and soul. I always felt like a #BOSS when people would get in my car and see my phone floating in the air. It matched my interior even if I didn't have my phone on it. I could not sing ENOUGH praises about this mount...<br /><br />... Until I took my case off and saw the back of my phone was scratched. You have the option to stick the magnet onto your phone, it's case, or just leave it between the two. For aesthetic purposes I decided on the last. Apparently that's the worst decision, because now my phone has scratches on the back. It's nothing too serious, but it bothers me enough where I feel the need to keep a case on 1000% of the time now. No more naked iPhone joy for me.<br /><br />So my suggestion would be to purchase a back screen protector (they sell those, right?) and hopefully that'll save your phone!"
9,5,and still bright as the brand name bulbs
10,5,GREAT FOR ALL ENGINES TO PROTECT THE METAL PARTS
11,5,Literally indistinguishable from the OEM part.
12,3,Only used it once sofar. Seems chincy. Not sumthing i would purchase to use alot
13,5,"Great Brakes! Great package deal! Lotsa bang for the buck. These seem to be of a much higher quality than the price would suggest. They arrived at my door in around 2 or 3 days, and were on the truck the same day. And the shipping was free as well!. Months later they are braking as smooth as day one.. The drilled/slotted rotors are really nicely machined, and seem to be of a high quality metallurgy too.. They never seem to be too oxidized after sitting for a while... I think they'll last a lot longer than the way more expensive ones I usually buy at my local parts stores.. Highly recommended!"
14,5,Great to use on swangers....
15,5,water tast real good
16,5,Perfect for my wife's CRV which we use for diving and the dogs
17,5,Everything I thought it would be !  Great price and right on time .
18,5,Great product.  Took a couple of trys to sync but it was easy and has good range.
19,3,"it really works only for a week, after that it was blurry again, basically you get what you pay for.. :("
20,3,"Shoei only warrants their helmets for 5 years from date of sale or 7 years from date of manufacture, whichever comes first. The helmet I got was manufactured in November of 2012, so clearly these are OLD STOCK which isn't indicated anywhere in the item description.  I have a call into them to see if they have one manufactured within the last 60 months, but I doubt it."
21,5,"As descibed, good quality, and arrived on time."
22,5,excellent!
23,5,Good
24,5,I got too admit i was a bit nervous about ordering this muffler for a low price but i was surprized in the quality of this muffler it came in the mail pretty fast  nd in good condition ..i would def buy another one if i had too great product.
25,5,favorite! keep it on me everyday. I feel much safer at college
26,3,"We like the concept and the price, and it works but sometimes the image freezes for a second.  if you are very close to your target when this happens, you could hit it."
27,5,"Installed on a 2007 KLR 650. Easy install, though i did have to shave my throttle tube just a hair to get the right grip to slide on.  Also had to trim the ends of the grips to get them to work with my bark busters, but that only took a minute to do.  Fired them up and they get warm pretty quickly. The only downside was finding a good spot for all the extra wiring, but I tucked it under the tank, and the install looks clean and functions well."
28,5,Perfect replacement & easy to program.  Instructions included with purchase.  Easy to follow.
29,5,WORKS GREAT
30,5,"Back to original ride after 300,000 miles"
31,3,Bulbs give out the perfect brightness and are bright white.  Unfortunately I am getting a bulb out warning no my ram 1500.  Philips needs to make a canbus version of these.
32,5,Nice to find one that screws on instead of using sticky tape. Fits and looks great. Great product.
33,4,Look good - Easy install. Not as noticeable as I thought they would be.
34,1,"Returned the first one for being faulty. Got the same results with the replacment. Checked the product to make sure it was for my car and engine, it was. Stated it worked for 1999-2000 Jettas 2.0 but clearly it does not. Or, dare I say, the extremely low priced part was just junk to begin with. My conclusion came as I was driving and the car lost all power, was able to get it started but would not stay running. Pulled the maf harness from the sensor and voila! The car started. Actually ran better than it ever did with this maf installed. Idled rough but never stalled like with this sensor plugged in. Not even worth $28...."
35,5,Good so far
36,5,All ok
37,4,Easy install and a lot of light<br />Currently just using 2 of them for back up lights for a pickup<br />But I'll be using the rest of them soon
38,4,Started unraveling as soon as my husband put a beer in...
39,3,"Works great and it is a great color, but the lock symbol is already fading off two months later."
40,4,"Feels great!  I have a tendency to dig my fingernails into the steering wheel, and this prevents me from doing any permanent damage."
41,3,Work great can tell  different with the original key
42,3,My son loves it
43,1,"I'm disappointed, IT DOESNT FIT MY HONDA CBR 600RR I really was excited for the product to come and it doesn't fit. And it's a fake carbon fiber."
44,5,Awesome grip and low noise. Recommended.
45,5,"Nice size, went on easily"
46,4,good cranking power and fast shipping
47,5,"It works well enough, but somewhat inconvenient to have to raise hood to get at it."
48,4,The quality is great and is very comfy to grasp. The only reason one star off is because of the rubber smell even after washing and air drying it out in the sun. It doesn't smell too bad after washing but still leaves the smell on my hands.
49,5,Worked perfect no problems.
50,3,"I received the decal in a timely manor, and thankfully that it was the color i ordered. It has been on my jeeps windshield for months now, and covered regularly in mud. It has held up very well.<br />The issue in have with this decal is that it was double imprinted. You can see hi haters twice but only one set of letters were laser cut. It looks bad up close."
51,5,Everything Fine
52,5,You have to love Bilsteins. Always worth the extra dough. Make my old truck better than new.
53,5,Fit perfect
54,5,Part worked great
55,3,very thin plastic
56,5,cheap and works
57,5,GREAT PRODUCT
58,5,Came in within 2 days. Front one didnt line up with holes but aftet some drilling it fit perfect. And they look great
59,5,Just what I expected!
60,1,Does not fit CJ7 or YJs. Maybe you should add that to the description.
61,5,nice
