,star_rating,review_body
0,5,This became one of my grandson's favorite books.
1,5,Good thought provoking piece!!
2,5,"This is the &#34;everything you ever wanted to know about Sean Connery&#34; book! Wow! It was full of all the tiny details about his life that true fans and admirers itch to know, in getting to understand the man behind the James Bond magic. I really loved learning about how he remains so true to his original artistic convictions and strong in the face of ever-more meddlesome papparazi and press wanting to impose on his personal space. He is really a model for up and comers in show biz looking to make their artistic mark and unique vision in an often all-too noisy industry."
3,5,"Nice book, I gave it to my son and loved it."
4,5,"This was my favorite Toothfairy book as a child. I bought it for my son just before he lost his first tooth. He made me read it twice a day for more than a week, so it's 5yr old boy approved!"
5,4,Bainton not discusses not only Luther himself but also the conditions and beliefs of the times.
6,5,"I love all of Nicole Wilde's books.  Very informative, well written, easy to understand, great addition to any dog trainer's collection."
7,5,Excellent reading for everyone especially Filipinos all over the world.  Lots of the book contents are unknown to most.  A very educational and informative documentary in the history of the Philippines.
8,5,Until now there has not been a book to cross my desk that I could recommend to a woman who wanted to understand why her man is the way he is when it comes to wiring. We men have a problem talking about it and this book will be a great help in this area.<br />Men want to be understood just as much as women. But since men seem to have bought the John Wayne silent persona we find it difficult.<br />Along with Craig Gross to provide the male grounding Feldhahn explains for the woman the wiring that makes the male different. This is meant to be used as a discussion guide.
9,5,"Enjoyed, great pictures"
10,5,cat is all good
11,5,"Excellent item, thanks."
12,5,Could not put this book down! Loved the cast of characters. An imaginative collection of short stories and something for everyone.
13,5,"This is a well written and entertaining novel about Li Du, an exiled scholar in 18th c. China. Traveling in the Yunnan Province, regarded as the wild borderland of the empire at that time, he learns that the Emperor is soon paying a visit to impress the people by &#34;commanding the heavens&#34; -- bringing about a solar eclipse. When a visiting scholar is murdered, Li Du is assigned to find the killer before the Emperor arrives.<br /><br />A decent mystery serves as the backdrop for a narrative that gives a lot of information about China of that time, when Jesuits served as advisors to the Emperor, and the Dutch East India Company was struggling to develop markets and trade in the empire.<br /><br />The characters are interesting and the dialogue is natural, but the best aspect of this novel is the elegant descriptions that convey a kingdom far away in place and time."
14,5,"If you enjoy retro cartoon design and color, this book is a jewel you have to discover!  I have apreciated derek yaniger's art, what little I had seen, and I saw this book and the few pics on amazon intrigued me, and the reasonable price didn't hurt either.  WOW! I was in heaven, drinking-in the illustrations and colors. I am an artist and I enjoy and find inspiration in this book, and although I was not looking for a book on drinks, I found that I did enjoy finding out about them aswell.  Now I'm thirsty"
15,5,Erotica with real character development - seriously. This naughty little gem is half erotic romance and half chicklit or women's fiction. The absolute perfect indulgence for any woman. I snuggled up with this one and read it through the night.
16,3,"6 yr old not overly interested - she loves to read, loved &#34;The Eights&#34; series, looking for something comparable, something with action and humor while maintaining enough suspense to carry over to the next evening.  We have been reading via telephone at bedtime as sher lives in MA and I live in MD"
17,5,Great book!
18,5,Well written and narrated. Amazing story. Highly recommend.
19,5,"The artistry of these cards is impeccable. I have never purchased Tarot cards before but am so happy I chose these. There is definitely more of a feminine quality to them but that is probably clear from the cover. The companion booklet is well written, thought provoking and mindful.  Quite delighted."
20,5,Very good.  Allot of information and opinions.  Must read for the person interested in a new beginning.
21,2,Same story over and over again and not as funny anymore.
22,5,Clear and concise with strategies easy to implement.
23,1,Stories boring and I could not get into any of them.  Never finished any.
24,5,"Best diabetes book I have read in 15 years as a diabetic!  I have read all the popular books, and all of the highly rated books here, as well as others. Like many diabetics, I never stop searching for the best approach to this disease. What I like most about this book is that it prescribes an exercise program, step by step, and gives you all of the details that you need to follow through. No other diabetes book that I have read so far does that. As a see a dietitian for my diet, I passed on the diet portion of the book, but began the exercise program. It has been extremely helpful!  I have already broken through a weight plateau that I was stuck at for months!  I enjoy other benefits of the exercise besides weight loss - ability to lower my insulin dose, a feeling of invigoration, better body tone, and better sleep. Exercise is good for everyone, but for us diabetics it is essential."
25,5,Excellent job! Exactly as described. Nicely packaged!
26,5,"This well written novel introduces several female characters, and the author does a great job of helping readers keep them straight!  (no pun intended!)  Maggie Rae-McInnis and her partner of twelve years, Addison, own a large, beautiful home in the Hollywood Hills.  With three stories, the home is large enough to rent out rooms to other women.  Tess, who's partner died in a car crash, Dusty, who enjoys playing the field, and Eve, who is trying to figure out her own identity are the current three renters.  Tess and Dusty are long-term tenants, and are close friends of Addison and Maggie.  Also playing an important role in this plot is Rebecca, who is a wise woman/seer and gives the different characters insight into what is going on in their lives.<br />With a length of over three hundred pages, there is plenty of time to enjoy these well developed characters, and to enjoy the author's warm humor."
27,5,Thanks
28,1,Was bought for a coworker who likes it.
29,2,This book is not very good. Most people have the basic knowledge about coconut oil that is covered in this book. You can get the information on the internet for free - just google benefits of coconut oil.
30,5,Love this book! So informative and covers a lot of Celtic history. Very well written. One of the best books I've ever read!
31,4,good
32,5,who thought all this would happen to the Rabbit's??  I love Roddy Doyle!
33,5,Very funny
34,4,"Got it for college. I wouldn't read it if it was for a class, but it isn't terrible."
35,5,"A delightful book, filled with historical detail and wonderful characters. Samantha's writing was both beautiful and poetic. I particularly liked the way she unravelled the story of the characters leading up to the hurricane. A real page-turner."
36,5,I love this book!!!! It was just what I needed! It helped both calm and inspire me through difficult times.
37,5,"What a wonderful story! As owners of a Wire Fox Terrier and parents of twin boys, we just adored this story. Our kids laugh each time we read it as they love to hear about all of the mischief and fun that Rumplepimple gets into. As a parent, I love the entire concept of the book and how it is written. It is a family favorite! Keep up the great work - we can't wait to see whats next!"
38,4,"This novel tells an interesting story of love, destiny, and strength.  I really enjoyed the multiple characters of different species and how they interacted throughout the novel.  The descriptions of each scene and character were vivid and helped the reader get into the story.  Definitely a quick, fun read....  I am ready for Volume 2."
39,5,This is a great book for young patriots!  The binding was stated as &#34;unknown&#34;; it was a soft-cover.  I bought a hard-cover when my children were small.  I wanted an extra copy for my classroom.  This will be perfect.
40,4,"Vanessa Munroe's lover has been sent to Japan to infiltrate a company that has gotten wind of some industrial espionage.  She comes to visit him while healing from wounds from a prior escapade.  He gets hauled off by the authorities and she spends the remainder of the novel investigating the situation and trying to spring him out. The action is on speed dial warp 10 and the pages turn themselves.  You quickly learn to trust no one.  She does without sleep or food to accomplish her mission.  If someone is looking for a strong female heroine, try this one.  My thanks to the author and the Penguin First to Read program for a complimentary copy."
41,5,My son is entering second grade and loves these books. Great series with a bit of history in each book. You do not need to read I survived books in order. All are  wonderful.
42,5,"A fantastic atlas. Plenty of detail for planning trips and Sunday drives. I purchased this size after looking at all of them in a bookstore, and it certainly has everything I need."
43,5,Good read
44,5,Bought this as a gift for my husband. He loved it!!! Fast shipping too and in perfect condition :)
45,3,Buyer beware: condensed and simplified versions of each tune
46,5,I enjoy all of this author's books.
47,5,"Overall, I've had good luck with the recipes in this book. They are pretty simple, plain, down-to-earth recipes that, as the title indicates, don't need a lot of ingredients and taste like the stuff Mom and Grandma make. Good country cooking, just as you can expect from Taste of Home.<br /><br />This would be a good book for a beginner cook. It has nice full color pictures and easy to follow instructions. It contains everything from breakfast recipes, to main courses, to side dishes to desserts. My only quibble is that it can be hard to make the book lay flat when you are following a recipe, but that's often the problem with perfect-bound cookbooks.<br /><br />So far, favorite recipe is the &#34;brownies&#34; made with graham cracker crumbs.  So easy and so yummy.  Kids just mowed right through em."
48,5,A wonderful book written by  an exceptional woman. A must read.
49,5,Reading this as it is a classic i have never read. its a great story and the characters are so rich
50,5,I really love the story about the fish. When Maxx is worried about the worm ... we cracked up!
51,5,"Great book and gift, my dad was stationed there in WWII!"
52,4,"I wanted to read a famous writer's enduring classic, but I must admit the movie with Spencer Tracy and Freddie Bartholomew spoiled me for the reading.;  Sometimes it's better not to see the movie first."
53,5,Awesome! The ideas presented in this book are amazing! If we could all begin to think about &#34;waste&#34; in this way it would be great.  There was  just the right amount of science and art.
54,5,excellent
55,5,"I bought this book thinking it would be a good way to explain to my kids what I do at the office all day while they're at school - perhaps a light-hearted, feel-good tale with cute pictures that would make my kids happy.<br /><br />Instead, I got a book about a mean drunk whose so-called &#34;friends&#34; stage an unwelcome intervention, who then sees fit to drag his kids to AA meetings (which he attends only reluctantly) where he tells them to be quiet and color on the floor! What kind of reprobate forces his kids to go to AA meetings with them? Well, as my friend says, &#34;alcoholics go to meetings, drunks go to bars.&#34;"
56,5,This book is such a good idea and fills such an important need and it is very well done.  I wish a new writer could be authorized to update it.
57,5,Lots of very good pictures and information.
58,2,"This story has an interesting plot and it plays out differently than your run of the mill &#34;only person alive here&#34; story, but as many other reviewers have mentioned it is overly technical and not well written. You don't have to read deeply to follow the plot, you can skim through the boring log entries. That helped me to get through it. But, you might want to skip the book and watch the movie instead. Just don't expect the movie to be great either or you will probably be disappointed. I don't think that Matt Damon will make a good Mark Watney. Mike Birbiglia would have been a better choice. I'm not a Birbiglia fan girl, but I think he and Mark have a similar sense of humor."
59,5,This book is wonderful will definetly make u think!!! Excellent read
60,5,I love this bible. The look and feel and the size of the writing. I was excited when I got it.
61,5,Perfect summer read with solid character development. Lots of laughs!
62,5,LOVE IT
63,5,Meets expectations
