,star_rating,review_body
0,4,It works as I wished.
1,5,Bought it for my daughter and she uses it everyday.  Battery life is good and its compact size makes it ideal for daily use.  sounds great and connects easily with her iphone.
2,5,Great product
3,5,"This unit is definitely worth the money. I compared 100's of wireless speakers everything from Bose to Jambox and this one for the price took the cake. This unit has a better design then the Bose system with a equal and sometimes better sound quality then the Bose system. It has a rich deep bass sound equal to that of a small sound big box system. When I first had this on my room mates thought I had a dedicated subwoofer. When they found out that it was from this small device they were amazed. I have since recommended this unit to 4 others who all love it, some wished they had demoed this before purchasing the similar Bose system.<br /><br />Pros:<br />* High Clear Crisp Sound<br />* Good Highs and Lows with no interference from case design<br />* Holds a very long charge (although will vary depending on how loud you play it)<br />* Easy Setup<br />* Very Durable<br /><br />Cons:<br />* Rubber on case makes it collect dust easily<br />* A little bulky but not bad<br />* Not able to function as a wireless mic when making calls<br />* Does not come with a carrying case"
4,5,Perfect fit. I love them. Bose wanted recycle them for 90$. I found a better perfect option!
5,5,"This little speaker sounds pretty good, it plays for quite awhile and charges fairly quickly, no issues with the charging port. We liked this little speaker so much we bought this one for my husband."
6,5,"These are some of the best buys available for earbuds; the trick however is to get these inserted into your ears deeply enough to seal them.  Once they are sealed, the bass and actually all sounds come out great.  It would be hard to beat the sound.  The problem I have is that they just don't seem to fit the way I would expect them to.  You have to insert them (to me) upside down with the wires going up toward the top of your head.  I believe this is so they can be looped behind your ears but it just doesn't feel right to me.  Maybe I adjust to this over time..  In any even, for the price and sound, they can't be beat..."
7,4,SatLink WS-6903 Digital LED Satellite Signal Meter Finder
8,5,I just received these as a gift and they are simply outstanding.  The best headphones that I've ever used.  They are adjustable for head size and fit my head/ears perfectly (unlike some other models that I've purchased and seen fail soon after!).  Excellent sound and great build quality.  Very happy!
9,5,Nice wire. Works fine.
10,5,"Floated the river with this case & it worked perfectly!!! Awesome Sound and the speaker stayed completely dry! Very durable, Survived Rapids and plus it Floats!!!"
11,5,Great Item - Fast Shipping - Will Purchase Again
12,5,Fantastic sound.
13,5,Perfect
14,5,"Rock them all the time, they work about 50 feet from phone, its great."
15,5,Works very well
16,5,"I had no idea which antenna to buy, as read that really varies as to signal towers etc & my tower is approx 30-31 miles away so figured this would be fine. I just bought a new TV to replace a tiny TV for a small room that doesn't have cable & won't be getting it, but wanted to get just a few channels for guests.  This antenna is great & works really well.  I didn't want a really cheap one, but didn't want an expensive one either, & this one was right in the middle.  It brought in a ton of digital channels, including most of the local stations & some others like KCET etc.  The picture is very clear, which surprised me as was expecting it to break up like my old analog antenna, but it's actually almost perfect & I forget that it's not cable.  I really love the 20ft cable length, as works perfectly for the room size. I have it behind the TV, nowhere near the window, so am not using the suction cups.   **update 11/7/15 - love this thing, I'm still blown away at the quality of the reception it brings in."
17,5,Works fine for less
18,5,"I've had a GT40 for several years, since they first came out.  I've solely used mine primarily as a DAC in conjunction with JRiver Media Center software, and recommend both heartily.  The GT40 is one of the most satisfying and affordable components in my overall stereo system.  Every other component cost $1,000 or more.  Unlike other DACs I've tried, the output sounds nearly as good as original sources and the unit seems to be built like a tank.  I've had no hiccups or failures of any kind.  I assume that the other applications work as well, in fact I now remember using it successfully as a phono stage for vinyl conversion to WAV a couple of years ago.<br />UPDATE - 2/1/17 - I had my first issue with the GT40 tonight after several hours of listening via earphones with it (since my beloved 50 year-old 15&#34; JBL speakers are being refurbished).  I lost the right channel for no apparent reason, but if I pulled out the headphone plug part way, it would return.  OK, it's just a displaced or dirty contact, I thought.  I took the unit apart and to my dismay the receptacle is sealed, so I couldn't get to the contacts to &#34;adjust&#34; (translation - bend) and/or clean them as hoped.  After putting it back together, I inserted and retracted the headphone plug aggressively several times, and voila -- I have both channels again.  The next step is to treat the receptacle innards from the front with DeOxit.  This turned out to be a minor glitch, so far, following years of flawless and frequent service.  My previous 5-star rating stands.  I'd give it 6 stars if I could!"
19,5,as described!
20,5,Works great s far. Arrived when expected.
21,2,I received a previously used Ipod the product info said new. I was able to use it abs it works great.
22,5,Great but some macs are iffy and don't work because of the new OSX
23,5,happy
24,5,Excellent sound and tone! The wood cabinet provides a rich sound and every instrument is exceptionally clear.
25,5,"I took me all of 15 seconds to get it working. The most intelligent light bulb I have ever used. It however  takes about 30 seconds the first time to connect to the Bluetooth of the iPhone with one 'cannot connect to Bluetooth failure message'. Once you get over that the app is super easy to use, you can increase or decrease the bulb intensity but cannot change the color. The speaks in the bulb sound very good for my ears. I use this for demoes where I show that even old fashioned light bulbs have changed forever thanks to technology.  I am in Mumbai , India and the voltage is 230 v and the light worked without a problem."
26,5,Works great for both my iPhone 5s and my husband's HTC.
27,3,"These ear buds worked for quite awhile, but eventually became useless. I had used these for a couple of years, but one day one of the wires snapped. For their price it was expected that I'd have to replace them after several years. The sound quality was adequate, not bad, not great either. The length of the cord could have been longer, but wasn't too bad overall."
28,2,I've got to re-scan ever time I turn on my tv set
29,4,"Pretty sturdy, but creaky. The ear muffs are soft, but like other comments, circle not oval. This makes them an on-ear headset. Pairing was easy, as well as switching between devices. They are not super tight on my head and I have a large noggin (7.75 hat size). Buttons are easy to use once you have memorized the layout.<br /><br />Sound quality is nice when used with device EQ settings. I like how turning up the volume on the headset does not change the volume setting on the device. To clarify, you have some volume swing when your device is at 75% volume.<br /><br />Overal, good budget piece of hardware."
30,5,"Awesome! I bought them to wear at a noisy gym, especially in one of the CardioKickBoxing classes. So bought for the noise canceling feature. Muffles loud noise nicely and are very comfortable. You can't, however, jump with these, since too much movement stops the feature from working.  But just doing weights, kicking punching is fine. I've also tried listening to some lectures on my iPhone with them, so nice. I could hear the lecture perfectly, but the surrounding noise disappeared. I did this at a birthday party with in laws, at a fancy restaurant, great way to get through a boring event."
31,5,No problems at all it's really a great unit I would recommend it to anybody has many features and does many things and it sounds great great sound from it
32,5,Nice surge protector!
33,1,It arrived broken
34,5,Been very useful to find items
35,1,"Low quality connectors that don't seat well.  Tried 3 different pieces of equipment to rule out a problem with the amp I was using them on originally, and got the same loose fitting seat and terrible audio quality on them as well.  I see that they got some good reviews from other users, so not sure if this is a fluke or what.  This manufacturer needs better quality control to improve consistency."
36,2,This item does not fit my headset as advertised
37,1,"Initially this product worked like a charm, but after a year of use it started to fall apart where the cable and the rectangular device connected. The inner wires started to show to the point where it got dangerous to continue to use this product for fear of being electrocuted. For such an expensive item, the build quality is extremely poor and the customer service is lacking. When you bring it to BOSE, they have a policy where they do not fix these products. Instead, you have the option to buy a new pair for a small discount. Why would I pay several hundred dollars for another pair that will break down after a year? There's a fundamental flaw with the design. If Bose was really proud of their product, they would offer a lifetime guarantee. I will never buy another bose product again."
38,5,"This little antenna is absolutely superb. Simple to set up and reception is excellent. This is a directional antenna. It will work best outdoors, mounted clear of other objects and pointed toward the origin of the broadcast signal. My signals originate from 2 broadcast towers that are about 15 degrees apart. I never have to rotate the antenna to receive a strong signal for all available broadcast channels."
39,5,Very good product with good clarity and vibrant sound.
40,5,Perfect for my application. Thanks!
41,5,So far so good:)  what can I say - it's  a strip outlet and it works
42,5,Perfect and very very sturdy! Very proud of myself for guessing this right.
43,5,Excellent product
44,2,"I received this adapter today. My three-pronged laptop plug fits perfectly. It can be inserted fully into the adapter and fits snugly. However, I cannot get any two-pronged plug into the top of this adapter. I tried to insert the plug for a lamp, my cell phone and my kindle. Not one can go all the way into this adapter. They all can only be inserted halfway into the adapter and are very loose. I am leaving for London in two days so I don't have the time to return this for a replacement. What a disappointment after all the great reviews. I am not a happy camper."
45,5,"I love it. I ordered one, but was defective and received a new one which worked. I love that it has a built in mic."
46,5,"This is a great base for your HEOS speakers (you must have a HEOS speaker to use this).  It helps to protect the system from water, adds bluetooth capability, adds portability and battery power.  Now you can take a speaker with you or use outdoors.<br /><br />The base is easy to put on and take off.  It is also very easy to use for streaming music.<br /><br />The HEOS system just keeps getting better.  Enjoy!"
47,5,works as it should.
48,3,"The ear pieces are quite large, returned."
49,1,not good. disappointed.
50,4,Works great
51,4,these worked great. Supply of mounting bolts not so great. None would fit my Vizio sound bar. Good thing I always keep the extra bolts and nuts from other things I buy. Oh and when it's all mounted and ready to be plugged back in the top part of the brackets blocks the plugs on the soundbar making it a little tight when plugging in wires. Other than that I'm happy and it looks really nice with the soundbar off the tv stand.
52,5,Exactly what I needed for the Omron unit.
53,5,perfect
54,5,"My brother and I paired this subwoofer with JBL ES90BK's floorstanding speakers, and the JBL ES25CBK center channel. Our surrounds are old vintage speakers that we kept for the look because they can still do their job on the sound. This is all tied to a Onkyo TX-NR626 receiver. This subwoofer is more than what you need in the best way. The bass can overpower our setup even when we are completely cranked. That is to say that you will never lack bass if you want bass. Once you dial the levels in this subwoofer really adds to any movie or music you want to throw at it. Fantastic addition, great look, phenomenal sound. This is the item furthest from being a limiting factor on our setup."
55,2,Low grade product. Don't fit with bose never recommand to purchase.
56,5,This was such a fabulous surprise how great it is! Exactly what I needed. I know it's old school but I still like making and playing my own CDs. It came here in perfect condition. Wonderful!!!!!
57,5,I was very pleased w/ this mount. Very easy to install.
58,5,"So far , I have not had any problems. It sounds great .I give it a 5 star rating ."
59,1,"It's a lie, this control does not fit to replace the remote control of AH59-01778V"
