,star_rating,review_body
0,5,just what i need! awesome!
1,2,The coffee maker makes excellent coffee and the design that lets you swing out the works to fill with water and coffee grounds without pulling it from under the counter is a great feature but the poor functioning glass carafe ruins the joy. I just can't pour water into the unit without a deluge on the counter no mater what position or speed I try and  I now take my cup to the sink to pour my coffee to catch the excessive dribble.<br />  I have contacted De Longhi CUSTOMER SERVICE to see if they have a solution and I am waiting for their reply. The problem (as I see it) is the carafe has a plastic lip completely around the top and it disrupts the flow from the spout.<br />  In the meantime I have been using the glass carafe from my De Longhi DC76T 12 cup coffee maker which is all glass (except for the lid and it works well. I purchased the DCF6214T to replace the damaged DC76T and thankfully I hadn't discarded the old unit yet.<br />  I would hope De Longhi will see the problem and have a &#34;Recall/Replacement&#34; program for the current Glass Carafe's.
2,5,Love this grill. My husband will cook now! We have had it for over 6 months. I do with the top came off for easier cleaning but it works great.
3,1,"This little spoon rest melted onto my Cuisinart stainless steel pot. My husband had to take the spoon rest and my pan out into the garage to pry it off. Although it came off, there was a considerable amount of silicone left on my $60 pan! The instructions didn't say unsuitable for gas stoves. :( I will call the manufacturer."
4,5,Love this for sinks!
5,5,"No,problems"
6,5,perfect
7,5,shoThe sauce pan is an excellent buy.  I would not hesitate buying another pan or pot in the same family.  Delivery time was much shorter than I<br />expected.
8,4,thanks - good item
9,5,"Heavy, but very gorgeous shade of read and so far great quality. I've used it to make some thick stews a couple of times already and I have no complaints. It cleans easily too, which totally makes up for it's weight."
10,3,"They're sturdy and attractive but they are not the easiest to clean. The textured surface, which is great for keeping plates from falling off, can't be briushed or even simply rinsed off. Nothing less than a dishwasher will do it. Still, they're an improvement of their predecessors."
11,5,"Excellent product, great price!"
12,5,Great item. Will recommend. Bought one for a friend. They really like it also.
13,5,Pros:<br />Works excellent.  I am currently in a really hot place and it keeps my drinks cold.<br /><br />Cons:<br />The bottle gets really hot to the touch if it is in the sun for more than 5 minutes.  (It still keeps drinks very cold)
14,5,"These egg shapers are adorable, and work well. They came in individual boxes (2 in each box), and were packaged really well. They do include English instructions, although they are very basic."
15,5,This larger grater is so much easier on my hands and wrist.  The handle is larger and the wide base makes it a breeze to stay balanced while grating.  It is very easy to clean inside since your hand will fit in there nicely. This one is well worth the higher price.  It doesn't even seem to take up that much more space to store it.
16,5,good
17,5,Great tool!!!  This tool makes it so easy to get the coconut from the shell....
18,4,It was a gift.  I guess he likes it.
19,5,Very well made and held many items for my &#34;hangover kit.&#34;
20,5,can't wait to use these during the holidays when I bake a lot.  looks great
21,4,this mixer is great for the average baker. For the price you pay it is well worth it. The only issue I have found with it is that the mixer does not reach to the bottom or all the way to the sides when mixing and may need a little assistance from you with a spoon to help move the contents around. Now if I was not being so lazy as to take it off the stand I think it would have been just fine.
22,5,Since LA got rid of plastic bags in markets I use these around the house for trash and cleaning the cat box. They work perfectly.
23,5,Awesome gadget.  I'm gonna be buying several more for Xmas gifts for my wine-drinking friends.
24,5,Got our machine today and it's a dream come true. I've made about 15 cups of coffee today just to experiment. Out of this world. No more Starbucks or other early morning coffee runs. It's very fast and makes very good coffee. Of course I use high quality beans. I'm using kicking horse brand and got the espresso beans I'm going to try. If there's any problems I will be back to let y'all know.
25,5,"beautiful packaging and design, fast delivery. Big hit with the ladies!"
26,5,very good product
27,4,"These trays don't turn leftovers into a gourmet meal, but they do keep leftovers for another day."
28,5,"works perfectly, just don't drop it in the sink as you will have to fish it out of the garbage disposal."
29,5,These were perfect! Best way to use them was to place them all on a cookie baking sheet and fill and place in freezer!
30,1,Entirely too small!
31,2,Very detailed engraving yet the opener is way too small !!!!
32,4,"This is a great solid cabinet and I am happy I got it. It matches my dinning room as if I bought them together. I will say to anyone looking to buy this, please do not hesitate! Very little assembling, rich espresso.<br /><br />HJS, New Jersey"
33,5,I use my little dish for salt scrub in bathroom! Perfect
34,4,Grind is nice and consistent with this. Only downside is that it takes about 20 minutes of continuous turning to semi-finely grind 5 tablespoons of coffee.
35,4,My daughter loves these but many were broken
36,5,"Finally, I don't have to keep replenishing coffee filters. This fits perfect in my 6-cup teapot that has a 3-inch diameter opening. Mine has clipped shut easily and stays closed. I've used it multiple times already. It's just barely big enough to fit 6 scoops of coffee in it. I haven't used it for tea or anything. Nothing has stained, so far. With it being extra fine mesh, I didn't have any problems with coffee grinds pouring into my cup. The coffee tastes better brewed from this in a teapot than from a coffee pot. Wish I'd a done this years ago."
37,5,"I bought one of these about 8 years ago, and used it a LOT!  When I got married the wife used it even more.  Bought 2 this time around.  It makes draining vegetables effortless.  Definitely worth having in the kitchen!"
38,5,"Good, easy to use timer; I carry one with me when traveling, to use for short naps wherever I may be"
39,2,"I had a similar device for decades, but lost it in a move. This one readily loses cans off the back side, unlike the original I once had, thus requiring removal of the rack to retrieve the lost can, which is also blocking the upper tier from further movement.  Save your money."
40,5,Nice product. Well made. Great price!
41,5,Just what I needed.
42,4,Love these salt and pepper shakers.  The only thing I am a bit confused with is why they are being sold in 3's.
43,5,I am still amazed at how these work.  The first time I used one I tried to lift the lid up and it came away very easily tricking me into thinking that the bowl wasn't really sealed.  I then picked it up by the handle to see if the bowl was really sealed and it WAS!!!  Very impressed with this idea and I love using them.  They clean easily and are simple to use.
44,3,New lunchbox looked used. Perhaps made in a dirty shop? We were able to get it mostly cleaned up.
45,4,Looks good assembled well lid is a little hard to get on some times but overall. Happy with it
46,5,"I purchased this over a year ago and it does the job very well. If I wanted absolutely accurate temperature readings, I would buy a Fluke for over $180 to $400. For $14, you can't go wrong! So, ignore the whiny 1 star (sic) rocket science babies, and get this product. Unless of course, you're working with mil spec tolerances. Then buy the top of the line instruments."
47,3,"We really try to be fair in our reviews so If you have skinny hands then this will work well for you. The gloves are long which is good. However, they are skinny all the way to the top. My hands are not skinny towards my elbows. What happens then is that because it it very stiff the gloves maintains its lenght leaving my fingers in palm of the glove.  I have to work very hard to keep my fingers to stay in place at the bottom where they should be. But the second I open my hands to grab the pan out of the oven the gloves shoot foward leaving my fingers in the palm of the gloves again. Baking cakes are fine because your hands tend to be around the sides of the pan, but with lasagna pans the handles are at the top and so the gloves tend to dip inside the food. Have not dropped any food so far but I have to make sure that I have the stove above clear so that I can put the food down quickly before it drops out of my hands."
48,5,Great quality for the price.
49,5,Works great
50,5,GOOD SPARE!!<br />STILL HAVE OLD WORKING ONE FOR 15 YEARS!!<br />VERY RELIABLE!!!
51,2,"Just like other reviews, the battery was dead on arrival. No big deal I thought, I have extras. One week later the replacement battery was dead also. I used it once a day to measure water temperature. Sampling rate is also VERY slow. Save your money and get something else."
52,4,"Works great so far! Love the no carafe feature and easy dispensing button for coffee in any sized cup or mug. Also coffee is always ready in the morning for me(the wonderful coffee smell really add on to my morning alarm) with the great auto-on feature.<br /><br />*PRO: auto-on time set feature, no carafe, hot coffee every pour, easy to use!<br />*CON: water condensates on the top cover lid and usually droplets fall outside the machine when it's opened after use."
53,5,Love these!
54,5,"love this, love my coffee."
55,5,Great article. Come as expected.
56,5,Just as expected in picture
57,5,Does what it is meant to
58,5,"I purchased 2 boxes through Amazon.com just over a week ago and have been using 1 of them for my 5 year old that is attending Summer School.  I have been using a different brand of bento for my older daughter (8 years) for the last 2+years.  They are okay, but difficult to open for little fingers and not all containers are leakproof.  I needed something better and easier since my upcoming Kindergartener has delays and difficulties, including fine motor.  She has used the box for the last week and LOVES it.  I love it too.  The box is easy to open and has enough compartments that I can give her several food options letting her decide what she wants for lunch.  Big bonus: Does not leak!!  The only thing that would make it better would be a place for spoon/fork and more colors.  Thanks for a great product, 5 stars."
59,5,nice product.
60,5,Love this juicer! No problems to report.
61,5,"Amazing. My maid of honor bought them for my bachelorette party. We were in San Francisco where they don't really mind if you drink in the parks as long as you don't have glass. We relaxed in the park overlooking the SF bay and Golden Gate bridge, while sipping our wine. It was perfect and I would recommend these to anyone and everyone! Definitely going to take them camping."
62,5,Awesome!
63,5,It was a gift for my Son he likes it very much
64,5,"This style is unique, comfortable, and easy to use. Worth it :) Doesnt includes batteries AAAx2"
65,5,Love it!
66,1,The inside is not ceramic. ..rough. no good
67,5,Perfect replacement to my coffee maker.
68,5,"My new K200 Brewing system is everything I need! It's perfect in size and the color matches my kitchen perfectly. My favorite new setting on this system is the digital touch screen and the fact that I can brew a &#34;stronger&#34; taste. Love it! Thanks, Keurig for the free pods for this review."
69,5,Im sorry I had a business trip. So now Im writing this review. I haven't use it yet but It looks pretty nice! I will use it soon.
70,5,"Great gift for a grandmother, was a hit at the birthday party. Cute idea!"
71,5,"cute bag, worth the price."
72,5,Good quality. It is nicer than I was expecting.
73,5,"Simple, accurate, easy to clean. Easy on batteries."
74,5,Good choice
75,5,"LOOKED EVERYWHERE FOR THESE FOR YEARS, I HAD ONE SEVERAL YEARS AGO. DELIGHTED!!"
76,5,"Really good product, fast shipping and nice price...I would do business with this company again."
77,4,"Love the knife block, but the color was not as shown.  It was much darker and I would prefer the lighter color."
78,5,"These charms are really cute.  The magnets are super strong, enough to the point that they all stick together if they get anywhere close to each other.  Everyone who has come to our house and used them raves about them.  The palm tree did pop off the magnet, but nothing a little superglue can't fix!  They even hold strong through the acrylic wine glasses we got to use around our pool.  You'll love these wine charms!"
79,5,"Gotta say that I love this pan. When they say &#34;non-stick&#34;, they MEAN &#34;non-stick&#34;. You will not have to use oils of any kind with this pan. You get a clean no-stick cooking experience every time out. I've used it to brown meant, make sauces, cool pork sausage, and fry eggs. Performs like a winner every time. It's a good size for general cooking. Highly recommended."
80,5,"A little stiff at first, but very helpful to transfer to the pot"
81,5,"Fairly accurate.<br />I didn't calibrate or test it except checking my oven temperature, which matched what I had the oven knob set to.<br />Convenient size."
82,1,The coffee pods did not load properly so I ordered a second machine. The same problem occurred so I had my money refunded. This machine should be redesigned.
83,5,Love it! Converted my bottles with ease. My 5 and 3 yr old can manage this and not backwash
84,5,"Most companies have no guarantee at all, and for the quality product you receive and the promise of them lasting until the end of eternity I actually got one of the larger sets. I have 8 CUTCO table knives and they are still ridiculously sharp. In a few years I will gladly pay the $10 shipping charge to have all 18 of my knives sharpened. The quality is defiantly worth the cost as long as you think of it as an investment."
85,2,The lid sticks! I have to use a gripper to remove it and it's a struggle. Very disappointed.
86,5,"Great and big slow cooker. Analog, so no timer ability, but I'd never use that anyway. I've used this for over a year now and no complaints. slow cooking is the best, and very easy. This is a staple tool in my kitchen. Only thing it needs, which others have mentioned, is an indicator light that it's on. I'm always paranoid it's not, so I wait around and feel if it's getting warm before leaving it to slow cook."
87,4,I liked this tray but it was a lot bigger than I had thought so I had to return based on size for my ottoman.  The quality and workman ship is very good.
88,5,Love the colors very vibrant.  Fit well into cupcake pan.  Peeled from cupcakes pretty easy. Cleaned up well.
89,3,nonstick ceramic  ok
90,5,"perfectly protected, arrived earlier which was a nice surprise and look great."
91,5,Great!!!
92,5,My Husband uses this every week!! It has been a great purchase and already paid for it self in savings from the brewery's growler charges.
93,5,I used to have this Cucina Pro Ricer and I could not find it.  I use it to make Italian Gnocchi and its great product to have and the price was right!
94,5,Good
95,5,Love the magnet. I had bought it to help out my hubby who seems to never see the clean button light on our dishwasher. Did not check to see if we had a metal front on our dishwasher (LOL)  so it will now be gifted to a lucky family member who does have a metal front dishwasher. Nicely packaged with gift card and drawstring bag.
96,3,Holes are a little big so you have to be careful using it.
97,4,Great coffee maker. My husband am I use it everyday
98,5,"Love the color! Works as good as our old Brita slim, but hold much more water, which is exactly what we were looking for. Perfect for us."
99,5,Excellent!
100,5,"This was exactly as expected. Shipped promptly, well packaged. Looked nice on Grad day!"
101,5,FINALLY. A great toaster without spending a fortune! I just couldn't bring myself to spend $100 and up for a stainless steel toaster. I am amazed at how well this one works. Perfect toast every time. Even toasting. Looks great on my counter. Separate settings on both sides. Can't beat it for the $$$!
102,5,"These were very cute and, for the price, couldn't be beat! I was able to save money on plates and cups (just bought those at the store to match the napkins) and it was still apparent that the party was dinosaur themed!"
103,5,I love this tea cozy. It really keeps the tea hot for much longer in the teapot. Plus it's really pretty.
104,4,Great option for having bottles at home and work.
105,5,"I love the heaviness & the way it chills.  I highly recommend this product.  I still use a wooden rolling pin in addition to this rolling pin, but this works very well when the wooden pin won't."
106,5,Excellent for all sorts of veggie and making curly fries (although sweet potato fries don't come out as well)
107,5,"Cool bottle, works like it should. Easy to clean. Just make sure the flip top has clicked closed before you shake it. It’s a solid click, you’ll know. I learned this the messy way."
108,4,"Excellent knife for travels, the case is key for taking the knife with you every were!"
109,5,Super cool!  Cubes are cute.
110,5,I used these to store homemade baby food. Squears are perfect size and easy to poop food out.
111,4,"I do a lot of cooking from scratch, usually one dish affairs or something over rice. I've tried all kinds of kitchen gadgets, from electric processors to mandolin slicers, etc.  But getting a off-brand Santoku style knife convinced me that it was just as fast...and easier to clean!<br /><br />I later upgraded to a Santoku knife from a company that makes them in Iowa, and it was an improvement over the off-band import from China. So I decided to take the leap and get this one.<br /><br />For vegetables (potatoes-onions), the Iowa one works about the same, but the handle is not as nice.  For raw chicken breast, this one clearly cuts better. The indentations may be helping. The handle is much better and allows more control.<br /><br />So I'm happy to have it, but it did not trump the Iowa-made one $100%, which can be found for about $7.<br /><br />But it is a nice knife and is the &#34;right tool for the job&#34; for me!"
112,4,"hats were adorable and a big hit, but the elastic was quite small.  All the 8 year olds had lines around their faces from being squeezed and they were uncomfortable.  If they only wear them for a very short time or the kids are small it shouldn't be a problem."
113,5,I first bought this as a gift for my granddaughter! I liked it so much when it arrived that I ordered one for myself! Love it!
114,5,It's great.  Just the right size and very sturdy.
115,5,Easy to install
116,5,Incredible!!!
117,4,It was a great purchase and perfect topper for my cake!
118,5,Beautiful addition to my late wife's huge glass living room table!
119,5,"The Ozeri Epicurean LED Kitchen Scale is not only a beautiful item but is also an excellent kitchen scale.  I've owned several and this is by far my favorite so far.  It is accurate, very sensitive, has a large load capacity and is simple to operate.  And it is very easy to read.  It has a large display as well as excellent contrast between the display surface and display colors.  The glass top removes easily should it require cleaning and reattaches just as easily.  Definitley give it some consideration if you are looking for both functionality as well as eye appeal."
120,5,"I was hesitant to buy at first, the first thing I check is the 1 and 2 star ratings to see what the chief complaints were.  For the price, the negative reviews were something to give me pause.  After researching awhile, the Breville still came up on top and the average rating is still very good.  I went ahead and purchased as an anniversary gift for my wife since she destroyed the other milk frother we had (don't ask).  Things that seem to give people trouble with this model is failure to froth or heat adequately.  Ours  worked as advertised out of the box and heated quickly as well as made healthy amounts of froth."
121,5,great item
122,5,I love this thing. It's very sturdy and keeps my pans organized! I actually use it lying flat not standing up because I have a shelf in my cabinet But it works just as well and the pans slide right out/in!
123,2,This product was a real waste of money I'm glad it was inculded whith something else I had bought. Because I wouldn't have purchased it. It doesn't put grill marks on the meat and it does smoke up the house when you use it.  I think that my George Forman Grill does a better job of cooking than this does.
124,5,"Excellent candy thermometer! Never had any issues. Calibration is easy, read is easy. I wish it had just one more feature though: an alarm for when it reaches a specific temperature. Other than that, it's pretty much exactly what you need for on the go cooking/baking."
125,3,Make sure you realize that these are 4 signs with double signs. You will not have access to all 8 at same time.
126,3,"Fine quality for the price, but if you're not careful the handles snap right off while you're scooping dry ingredients. I've already broken two :("
127,5,LOVE THIS CROCKPOT! ITS A VERY ATTRACTIVE ITEM FOR A GREAT PRICE! GLAD I ORDERED IT. DELIVERY WAS VERY FAST TOO.
128,3,"They are great. They are sturdy and look nice, but don't microwave the lids, they will never lock onto the glass container again"
129,5,We have already used it several times.  Absolutely love it.
130,5,Handle needs hot pad after boiling but good kettle
131,5,Good
132,5,They were perfect For the bridal shower and mimosas.  They are exactly what I need for my mother n law 85th birthday celebration in August. Great buy .
133,5,buy it
134,3,The fingers seem to chatter when sharpening a knife
135,5,Works awesome.  It's nice and small to store and i got one for my friend and my sister.  They both called me raving about how great it is.  Great and useful kitchen gadget.
136,3,Carrots and cabbage - not very successful.  Still love the zucchini spagetti!
137,5,best way in the world to make fantastic coffee!!!
138,5,"&#34;Great item, excellent quality. Works well.&#34;"
139,5,great product
140,5,Nice board - sturdy but light enough to clean easily.  Very pleased.
141,5,perfect!
142,5,The size and quality are even better than I hoped for! I love it.
143,5,Warms up coffee very fast
144,1,Leaked all over
145,5,And I use it in conjunction with the filters that fit this... My Keureg 2.0 is liberated! I get to drink my favorite coffee by the carafe full! Yay!!
146,5,Truly keeps beverages hot for hours.
147,5,saves me time on clean up
148,1,I bought this and after 2 weeks it broke the piece connecting the wheel to the handle. Very disappointing.
149,3,"People don't seem to know what grind I should have with it, and I haven't been able to pinpoint it yet. Also allows quite a bit of sediment at most grinds I've tried. If it's too course, it isn't flavorful enough. If it's too fine, you'll be chewing your coffee by the last 1/5th of it. Hard to find the threshold. Also a bit wobbly."
150,5,Works better than the'70s one with the crank handle it replaced.
151,1,Doesn't work.
152,1,Mini is the word. Broke handle on first use.
153,3,"Wish I'd passed on these brushes.  Any good bottle brush would have worked as well.  My main issue is there is no way to hang them.  They have to lay on their sides and I don't care for having bottle brushes rolling around on the counter.  I did find a &#34;home&#34; for them, but they are not handy and close at hand.<br />If they had a hanging loop on the ends, they would be a much more useable product!"
154,5,"Ordered June 4th arrived June 8th. Test run of grapefruit, banana, blackberries with some h2o went great. If you've ever attempted to blend citrus in a regular blender you know to expect some chewing. Will update if anything changes. Well worth the money so far."
155,5,"Let's get the obvious out of the way... For $1.50 per piece, you're not really expecting high quality here, are you? These are knives. Knives you can cut things with. A variety of knives. That match. And have a convenient and attractive storage container.<br /><br />This set has to be evaluated with the quality for the expense in mind, and I think it's a winner. I had several low-budget knives when I was in college and just out of college and paid more than $1.50 each for them, and still I made sure to pack them when I moved to the next place... until I had real income and could buy real knives.<br /><br />So let's talk about the nature and extent of the low-budgetness. Reversing my usual approach, I'll start with the cons:<br />1. Very thin blades that easily bend<br />2. These are not full-tang blades, of course<br />3. There is a limited one-year warranty (go to quikut dot com), but you have to pay shipping and include $2.00 per knife to cover return shipping, so hey, that's not going to be worth it.<br /><br />But there's some pros, too!<br />1. Dishwasher safe (I imagine they will last longer if you don't do that, though)<br />2. They arrive plenty sharp to cut things. And like the low-budget knives of my youth, you should be able to sharpen them again when they get dull.<br />3. I find the handles comfortable, as described (&#34;ergonomic&#34;)<br />4. It's nice to have a knife block! This one resembles a 4x4. But so what? It's cheap! Oil it and it might end up looking nicer.<br />5. Color choices.<br />6. Made in USA (&#34;of domestic and foreign components&#34;)<br /><br />For those on a budget, I think this might be just what you're looking for."
