,star_rating,review_body
0,5,product is as advertised 7 great service
1,5,Great
2,5,Need I say more!
3,4,good
4,5,"Just as I expected, love the cd"
5,5,thanks
6,5,"This CD is all the evidence you need to claim Alison Moyet deserved to have more recognition in the United States. While undoubtedly influenced by classic soul singers, she is never imitative.  Moyet has a style and voice all her own.  The songs allow her to show her range and the depth of her unique talent."
7,5,These are just great to listen too!
8,4,nice
9,5,"Hilarious, hilarious, hilarious."
10,4,no burton but the guess who flavor.anything with kurt winter in it is priceless.fans don't fear this.great songs.
11,5,"Felt the need to feel a tangible cd, not another download"
12,5,love train
13,5,"Oh yes, this was worth the wait.  Just what a fan expects from Alan Jackson.  Great variety of different types of songs."
14,5,"Wow, I got this CD a week ago and haven't taken it out of my stereo yet.  What a powerful disc and David Coverdale and new crew just ROCKS.  From the drumming, bass and guitars, you need to crank it above 10.  The DVD is mind blowing as the videos are as powerful to watch and hear......."
15,5,"love Jill Scott could not wait for this. Love this CD and Wild Cookie Yes!!, Back Together, Can't wait great"
16,5,"Great Music. The more you listen, the more you get out of it. This album would be career defining for some acts. The Foo Fighters make it look too easy. They just keep getting better. From beginning to end you can't go wrong, this is why albums remain the way to experience music."
